feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,metric,wilcoxon_fdr,manuscript_use
ITGA6,15,9,0.08695652173913043,0.06896551724137931,0.025311215164682953,0.00980392156862745,-0.011270123245641034,0.06809365016093012,0.45428466796875,expressing_fraction,0.5585239955357143,exploratory_or_not_supported
ITGAV,15,9,1.1509803614981113,1.0483242103633317,0.07552429562931276,0.06507544998694326,-0.03618188763993162,0.19294962993884873,0.389404296875,mean_log_expression,0.5497472426470589,exploratory_or_not_supported
ITGAV,15,12,0.7333333333333333,0.6352941176470588,0.08896844426833725,0.09159489633173845,0.03880642435589816,0.1372860358810564,0.00537109375,expressing_fraction,0.018415178571428572,supports_shared_state_context
ITGB1,15,12,2.1563822113591113,1.9916488678649689,0.33745462928325154,0.37358218765076323,0.09765918927110424,0.5862272785938552,0.01806640625,mean_log_expression,0.06194196428571429,exploratory_or_not_supported
ITGB1,15,13,0.9411764705882353,0.8405797101449275,0.1462739858154635,0.11764705882352944,0.07202256740732157,0.22544301767381306,0.00201416015625,expressing_fraction,0.008056640625,supports_shared_state_context
ITGB3,15,7,0.035316521530133746,0.03143361082132747,-0.012349509852331188,0.0,-0.056849884397916974,0.030297215765837215,0.7531523647659145,mean_log_expression,0.7946458899456522,exploratory_or_not_supported
ITGB3,15,7,0.06666666666666667,0.04491228070175438,-0.008218344782101816,0.0,-0.0677827755875525,0.04992243484897262,0.972125329731665,expressing_fraction,0.9721253297316649,exploratory_or_not_supported
NRP1,15,3,0.5090658933295523,0.7424612355278257,-0.13975175319176167,-0.1606748228526882,-0.2590594248449747,-0.012587846518513763,0.063720703125,mean_log_expression,0.13902698863636365,exploratory_or_not_supported
NRP1,15,7,0.47560975609756095,0.3709677419354839,0.02580392565606802,-0.0032679738562091387,-0.041962502152473255,0.09845865530350063,0.67877197265625,expressing_fraction,0.7082837975543478,exploratory_or_not_supported
NRP2,15,15,0.5906828830335856,0.17492562196717995,0.36393458076180474,0.2940639321215538,0.2825305582157941,0.4502013520577373,6.103515625e-05,mean_log_expression,0.00048828125,supports_shared_state_context
NRP2,15,15,0.5625,0.20041899441340782,0.31891976062525706,0.30067206693964754,0.25182639980687593,0.38474196973382446,6.103515625e-05,expressing_fraction,0.00048828125,supports_shared_state_context
PDGFRA,15,15,0.17357532914849796,0.014312555496517967,0.20258613387951022,0.16614842458170814,0.13924868676683766,0.2740445802597791,6.103515625e-05,mean_log_expression,0.00048828125,supports_shared_state_context
PDGFRA,15,15,0.1875,0.02486678507992895,0.2190484178358258,0.17391304347826086,0.14939138326055237,0.29992071309561413,6.103515625e-05,expressing_fraction,0.00048828125,supports_shared_state_context
PDGFRB,15,7,0.6122143646223742,0.5094845142429503,-0.13846759458103866,-0.0041754614768791665,-0.2844073232445952,-0.007415467984139554,0.1876220703125,mean_log_expression,0.3001953125,exploratory_or_not_supported
PDGFRB,15,9,0.40625,0.2857142857142857,0.02819993734756571,0.05576616121308858,-0.026889868736852823,0.07865286781640064,0.22930908203125,expressing_fraction,0.3616820524161274,exploratory_or_not_supported
TGFBR1,15,15,0.22667527553365138,0.08536476616832557,0.16386826047359648,0.12224514019838785,0.1119634381732049,0.22284406874539328,6.103515625e-05,mean_log_expression,0.00048828125,supports_shared_state_context
TGFBR1,15,15,0.2804878048780488,0.10714285714285714,0.19887566296524156,0.19726849583537476,0.15215825704060768,0.2517857782951451,6.103515625e-05,expressing_fraction,0.00048828125,supports_shared_state_context
TGFBR2,15,12,0.3028182377239985,0.29549295734979536,0.07799852920035179,0.11079902449466877,0.027173411113103504,0.12118795943772841,0.01025390625,mean_log_expression,0.041015625,supports_shared_state_context
TGFBR2,15,12,0.36585365853658536,0.27941176470588236,0.12337118540779518,0.116617184771219,0.07107438331814538,0.1751618410532851,0.00152587890625,expressing_fraction,0.00732421875,supports_shared_state_context
TGFBR3,15,3,0.03383842102080784,0.07452817444776365,-0.023083078617144145,-0.019138207207922968,-0.04869510215575032,0.0055806631314624195,0.1005251728089838,mean_log_expression,0.18558493441658547,exploratory_or_not_supported
TGFBR3,15,3,0.043478260869565216,0.07142857142857142,-0.012812388899731618,-0.025487256371814093,-0.04240875284757055,0.021027443195958975,0.13295729296233563,expressing_fraction,0.31909750310960555,exploratory_or_not_supported
