disease,state_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PVR,Pericyte_contractile,CFH,90,17,0.18888888888888888,0.2837930184852642,1.5024336272749284
PVR,Pericyte_contractile,TIMP1,90,41,0.45555555555555555,1.159042124913328,2.544238810785354
PVR,Pericyte_contractile,SERPINE1,90,16,0.17777777777777778,0.39370269936852065,2.2145776839479288
PVR,RPE_inflammatory,POSTN,1654,71,0.042926239419588876,0.03338421429137279,0.7777111329286
PVR,RPE_inflammatory,FN1,1654,792,0.4788391777509069,0.5002974453798607,1.044813099316022
PVR,RPE_inflammatory,THBS2,1654,6,0.0036275695284159614,0.003172606919664704,0.8745819741875699
PVR,RPE_inflammatory,CTHRC1,1654,547,0.3307134220072551,0.3044739287354006,0.9206579124832772
PVR,RPE_inflammatory,AEBP1,1654,206,0.12454655380894801,0.09837068639353398,0.7898306567713844
PVR,RPE_inflammatory,IGFBP7,1654,1610,0.973397823458283,2.96588881656551,3.0469441631051883
PVR,RPE_inflammatory,SULF1,1654,1338,0.8089480048367593,1.4980851675198312,1.8518930247218244
PVR,RPE_inflammatory,CFH,1654,1288,0.7787182587666264,1.0781700602360245,1.3845444717627209
PVR,RPE_inflammatory,TIMP1,1654,1342,0.81136638452237,1.1308430636998088,1.393751436184414
PVR,RPE_inflammatory,SERPINE1,1654,420,0.2539298669891173,0.2132458530924476,0.8397824786069245
PVR,Shared_ECM_TGFB_high,POSTN,886,274,0.309255079006772,0.8839440763524319,2.8583009184242862
PVR,Shared_ECM_TGFB_high,FN1,886,790,0.891647855530474,3.12728902832432,3.507314024171326
PVR,Shared_ECM_TGFB_high,THBS2,886,101,0.11399548532731377,0.1475661515583336,1.2944911908978576
PVR,Shared_ECM_TGFB_high,CTHRC1,886,378,0.42663656884875845,0.596127715298174,1.3972728988205878
PVR,Shared_ECM_TGFB_high,AEBP1,886,321,0.3623024830699774,0.5587190434822298,1.5421341823216685
PVR,Shared_ECM_TGFB_high,IGFBP7,886,779,0.8792325056433409,2.7478223689914363,3.12525111543827
PVR,Shared_ECM_TGFB_high,SULF1,886,696,0.7855530474040632,1.894935547514287,2.412231171117325
PVR,Shared_ECM_TGFB_high,CFH,886,500,0.5643340857787811,1.2658908523347,2.2431585903370883
PVR,Shared_ECM_TGFB_high,TIMP1,886,726,0.8194130925507901,2.682016496963617,3.2730945128233673
PVR,Shared_ECM_TGFB_high,SERPINE1,886,733,0.827313769751693,2.5725514255959188,3.109523278414712
