disease,final_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PDR,Erythroid,POSTN,76,6,0.07894736842105263,0.16429597003984295,2.0810822871713444
PDR,Erythroid,FN1,76,34,0.4473684210526316,0.9585444534602783,2.142628778322975
PDR,Erythroid,THBS2,76,5,0.06578947368421052,0.12767276895106847,1.9406260880562407
PDR,Erythroid,CTHRC1,76,4,0.05263157894736842,0.11523711187850652,2.1895051256916243
PDR,Erythroid,AEBP1,76,9,0.11842105263157894,0.21081200187144608,1.7801902380255445
PDR,Erythroid,IGFBP7,76,30,0.39473684210526316,0.9710880078569248,2.4600896199042093
PDR,Erythroid,SULF1,76,1,0.013157894736842105,0.015003749803535232,1.1402849850686776
PDR,Erythroid,CFH,76,0,0.0,0.0,0.0
PDR,Erythroid,TIMP1,76,27,0.35526315789473684,0.8073278046223562,2.2724782648629285
PDR,Erythroid,SERPINE1,76,4,0.05263157894736842,0.08525180225667181,1.6197842428767644
PDR,Fibroblast_Mesenchymal,POSTN,1926,1581,0.8208722741433022,2.363254375931175,2.8789550462007862
PDR,Fibroblast_Mesenchymal,FN1,1926,1912,0.9927310488058152,4.277134206623616,4.308452134914792
PDR,Fibroblast_Mesenchymal,THBS2,1926,1423,0.7388369678089304,1.4623270523581569,1.97922832244681
PDR,Fibroblast_Mesenchymal,CTHRC1,1926,1355,0.7035306334371755,1.1909331330814603,1.6927949921143124
PDR,Fibroblast_Mesenchymal,AEBP1,1926,1642,0.8525441329179647,1.8846370086048676,2.210603458327025
PDR,Fibroblast_Mesenchymal,IGFBP7,1926,1922,0.9979231568016614,4.681473299695961,4.691216220194808
PDR,Fibroblast_Mesenchymal,SULF1,1926,1679,0.8717549325025961,2.1524456871074027,2.4690949335133157
PDR,Fibroblast_Mesenchymal,CFH,1926,1542,0.8006230529595015,1.5955742676047362,1.992915719459612
PDR,Fibroblast_Mesenchymal,TIMP1,1926,1878,0.9750778816199377,3.611750623123179,3.704063738091184
PDR,Fibroblast_Mesenchymal,SERPINE1,1926,1442,0.7487019730010385,1.9875993505394756,2.654727010498634
PDR,Myeloid,POSTN,7776,464,0.059670781893004114,0.06058859895682989,1.015381348035149
PDR,Myeloid,FN1,7776,3604,0.463477366255144,0.8823430136486634,1.9037456365516112
PDR,Myeloid,THBS2,7776,135,0.017361111111111112,0.017143087126828025,0.9874418185052941
PDR,Myeloid,CTHRC1,7776,174,0.022376543209876542,0.018753602812974203,0.8380920429522266
PDR,Myeloid,AEBP1,7776,243,0.03125,0.0344462428527737,1.1022797712887584
PDR,Myeloid,IGFBP7,7776,2944,0.3786008230452675,0.47784848343529174,1.262143276899738
PDR,Myeloid,SULF1,7776,264,0.033950617283950615,0.032410495154354346,0.9546364027282552
PDR,Myeloid,CFH,7776,223,0.02867798353909465,0.027056774813246205,0.9434685244296075
PDR,Myeloid,TIMP1,7776,5034,0.6473765432098766,1.1754113845859282,1.8156533425785017
PDR,Myeloid,SERPINE1,7776,669,0.08603395061728394,0.095699512345362,1.1123459013416068
PDR,Pericyte,POSTN,1550,729,0.4703225806451613,0.6178329203413048,1.3136365247311694
PDR,Pericyte,FN1,1550,1545,0.9967741935483871,3.646632721225827,3.6584341216181437
PDR,Pericyte,THBS2,1550,424,0.2735483870967742,0.18233437813055894,0.6665525615621848
PDR,Pericyte,CTHRC1,1550,341,0.22,0.1459156032348566,0.6632527419766209
PDR,Pericyte,AEBP1,1550,1082,0.6980645161290323,0.6837430568581476,0.9794840463309878
PDR,Pericyte,IGFBP7,1550,1547,0.9980645161290322,4.65510008111397,4.66412742451626
PDR,Pericyte,SULF1,1550,818,0.5277419354838709,0.5997130677605355,1.1363756173946575
PDR,Pericyte,CFH,1550,1116,0.72,0.7424972051143213,1.0312461182143353
PDR,Pericyte,TIMP1,1550,1481,0.9554838709677419,2.87007089232217,3.0037879021602722
PDR,Pericyte,SERPINE1,1550,790,0.5096774193548387,0.8362935954369913,1.640829206237135
PDR,T_NK,POSTN,1260,80,0.06349206349206349,0.09499236548459473,1.496129756382367
PDR,T_NK,FN1,1260,371,0.29444444444444445,0.5304755021870099,1.8016149130879577
PDR,T_NK,THBS2,1260,45,0.03571428571428571,0.052364652446989464,1.466210268515705
PDR,T_NK,CTHRC1,1260,33,0.02619047619047619,0.04039370339583473,1.5423050387500534
