accession,disease,sample,state_annotation,size
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,RPE_inflammatory,10
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,Shared_ECM_TGFB_high,157
GSE245561,PDR,GSM7845002_AF-TD-TED-2,Low_fibrosis_mixed,68
GSE245561,PDR,GSM7845002_AF-TD-TED-2,Muller_stress,28
GSE245561,PDR,GSM7845002_AF-TD-TED-2,Pericyte_contractile,1015
GSE245561,PDR,GSM7845002_AF-TD-TED-2,RPE_inflammatory,15
GSE245561,PDR,GSM7845002_AF-TD-TED-2,Shared_ECM_TGFB_high,855
GSE245561,PDR,GSM7845003_AF-TTF-1,Low_fibrosis_mixed,17
GSE245561,PDR,GSM7845003_AF-TTF-1,Muller_stress,8
GSE245561,PDR,GSM7845003_AF-TTF-1,Pericyte_contractile,55
GSE245561,PDR,GSM7845003_AF-TTF-1,RPE_inflammatory,7
GSE245561,PDR,GSM7845003_AF-TTF-1,Shared_ECM_TGFB_high,46
GSE294329,PVR,GSM8902421_XZH02,Low_fibrosis_mixed,634
GSE294329,PVR,GSM8902421_XZH02,Muller_stress,465
GSE294329,PVR,GSM8902421_XZH02,Pericyte_contractile,17
GSE294329,PVR,GSM8902421_XZH02,RPE_inflammatory,316
GSE294329,PVR,GSM8902421_XZH02,Shared_ECM_TGFB_high,238
GSE294329,PVR,GSM8902422_WHN03,Low_fibrosis_mixed,478
GSE294329,PVR,GSM8902422_WHN03,Muller_stress,334
GSE294329,PVR,GSM8902422_WHN03,Pericyte_contractile,13
GSE294329,PVR,GSM8902422_WHN03,RPE_inflammatory,600
GSE294329,PVR,GSM8902422_WHN03,Shared_ECM_TGFB_high,88
GSE294329,PVR,GSM8902423_ZWB04,Low_fibrosis_mixed,417
GSE294329,PVR,GSM8902423_ZWB04,Muller_stress,390
GSE294329,PVR,GSM8902423_ZWB04,Pericyte_contractile,10
GSE294329,PVR,GSM8902423_ZWB04,RPE_inflammatory,279
GSE294329,PVR,GSM8902423_ZWB04,Shared_ECM_TGFB_high,82
GSE294329,PVR,GSM8902424_NPC05,Low_fibrosis_mixed,264
GSE294329,PVR,GSM8902424_NPC05,Muller_stress,297
GSE294329,PVR,GSM8902424_NPC05,Pericyte_contractile,14
GSE294329,PVR,GSM8902424_NPC05,RPE_inflammatory,105
GSE294329,PVR,GSM8902424_NPC05,Shared_ECM_TGFB_high,91
GSE294329,PVR,GSM8902425_JT06,Low_fibrosis_mixed,857
GSE294329,PVR,GSM8902425_JT06,Muller_stress,429
GSE294329,PVR,GSM8902425_JT06,Pericyte_contractile,17
GSE294329,PVR,GSM8902425_JT06,RPE_inflammatory,333
GSE294329,PVR,GSM8902425_JT06,Shared_ECM_TGFB_high,336
